Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
Azad Jammu and Kashmir,Pakistan,6/11/2020 3:33,34.027401,73.947253,444,9,217,218,"Azad Jammu and Kashmir, Pakistan",10.97552113,2.027027027
Balochistan,Pakistan,6/11/2020 3:33,28.328492,65.898403,7031,62,2462,4507,"Balochistan, Pakistan",56.95696383,0.881809131
Gilgit-Baltistan,Pakistan,6/11/2020 3:33,35.792146,74.982138,974,14,616,344,"Gilgit-Baltistan, Pakistan",96.09465027,1.437371663
Islamabad,Pakistan,6/11/2020 3:33,33.665087,73.121219,5963,57,843,5063,"Islamabad, Pakistan",297.1734879,0.955894684
Khyber Pakhtunkhwa,Pakistan,6/11/2020 3:33,34.485332,72.09169,14527,610,3631,10286,"Khyber Pakhtunkhwa, Pakistan",47.59303945,4.19907758
Punjab,Pakistan,6/11/2020 3:33,30.811346,72.139132,43460,807,8643,34010,"Punjab, Pakistan",39.50462258,1.85687989
Sindh,Pakistan,6/11/2020 3:33,26.009446,68.776807,41303,696,19896,20711,"Sindh, Pakistan",86.25267513,1.685107619
Azad Jammu and Kashmir,Pakistan,6/12/2020 5:09,34.027401,73.947253,534,10,237,287,"Azad Jammu and Kashmir, Pakistan",13.20028892,1.872659176
Balochistan,Pakistan,6/12/2020 5:09,28.328492,65.898403,7673,75,2673,4925,"Balochistan, Pakistan",62.15769926,0.977453408
Gilgit-Baltistan,Pakistan,6/12/2020 5:09,35.792146,74.982138,1030,15,673,342,"Gilgit-Baltistan, Pakistan",101.6195994,1.45631068
Islamabad,Pakistan,6/12/2020 5:09,33.665087,73.121219,6699,65,1164,5470,"Islamabad, Pakistan",333.8529592,0.970294074
Khyber Pakhtunkhwa,Pakistan,6/12/2020 5:09,34.485332,72.09169,15787,632,3907,11248,"Khyber Pakhtunkhwa, Pakistan",51.72102387,4.003293849
Punjab,Pakistan,6/12/2020 5:09,30.811346,72.139132,47382,890,9546,36946,"Punjab, Pakistan",43.06967388,1.878350428
Sindh,Pakistan,6/12/2020 5:09,26.009446,68.776807,46828,776,22047,24005,"Sindh, Pakistan",97.79048183,1.657128214
Azad Jammu and Kashmir,Pakistan,6/13/2020 3:33,34.027401,73.947253,534,10,237,287,"Azad Jammu and Kashmir, Pakistan",13.20028892,1.872659176
Balochistan,Pakistan,6/13/2020 3:33,28.328492,65.898403,7673,75,2673,4925,"Balochistan, Pakistan",62.15769926,0.977453408
Gilgit-Baltistan,Pakistan,6/13/2020 3:33,35.792146,74.982138,1030,15,673,342,"Gilgit-Baltistan, Pakistan",101.6195994,1.45631068
Islamabad,Pakistan,6/13/2020 3:33,33.665087,73.121219,6699,65,1164,5470,"Islamabad, Pakistan",333.8529592,0.970294074
Khyber Pakhtunkhwa,Pakistan,6/13/2020 3:33,34.485332,72.09169,15787,632,3907,11248,"Khyber Pakhtunkhwa, Pakistan",51.72102387,4.003293849
Punjab,Pakistan,6/13/2020 3:33,30.811346,72.139132,47382,890,9546,36946,"Punjab, Pakistan",43.06967388,1.878350428
Sindh,Pakistan,6/13/2020 3:33,26.009446,68.776807,46828,776,22047,24005,"Sindh, Pakistan",97.79048183,1.657128214
Azad Jammu and Kashmir,Pakistan,6/14/2020 3:33,34.027401,73.947253,574,11,242,321,"Azad Jammu and Kashmir, Pakistan",14.18907461,1.916376307
Balochistan,Pakistan,6/14/2020 3:33,28.328492,65.898403,7866,80,2722,5064,"Balochistan, Pakistan",63.72116022,1.017035342
Gilgit-Baltistan,Pakistan,6/14/2020 3:33,35.792146,74.982138,1044,16,676,352,"Gilgit-Baltistan, Pakistan",103.0008366,1.53256705
Islamabad,Pakistan,6/14/2020 3:33,33.665087,73.121219,7163,71,1671,5421,"Islamabad, Pakistan",356.9769737,0.991204802
Khyber Pakhtunkhwa,Pakistan,6/14/2020 3:33,34.485332,72.09169,16415,642,4072,11701,"Khyber Pakhtunkhwa, Pakistan",53.77846372,3.91105696
Punjab,Pakistan,6/14/2020 3:33,30.811346,72.139132,50087,938,17560,31589,"Punjab, Pakistan",45.52848668,1.87274143
Sindh,Pakistan,6/14/2020 3:33,26.009446,68.776807,49256,793,23113,25350,"Sindh, Pakistan",102.8608519,1.609956147
Azad Jammu and Kashmir,Pakistan,6/15/2020 3:33,34.027401,73.947253,647,13,254,380,"Azad Jammu and Kashmir, Pakistan",15.99360849,2.00927357
Balochistan,Pakistan,6/15/2020 3:33,28.328492,65.898403,8177,85,2859,5233,"Balochistan, Pakistan",66.24051959,1.03950104
Gilgit-Baltistan,Pakistan,6/15/2020 3:33,35.792146,74.982138,1129,16,716,397,"Gilgit-Baltistan, Pakistan",111.3869201,1.417183348
Islamabad,Pakistan,6/15/2020 3:33,33.665087,73.121219,8569,78,2037,6454,"Islamabad, Pakistan",427.0467245,0.910257906
Khyber Pakhtunkhwa,Pakistan,6/15/2020 3:33,34.485332,72.09169,18013,675,4539,12799,"Khyber Pakhtunkhwa, Pakistan",59.01379635,3.747293621
Punjab,Pakistan,6/15/2020 3:33,30.811346,72.139132,54138,1031,17710,35397,"Punjab, Pakistan",49.21079745,1.904392478
Sindh,Pakistan,6/15/2020 3:33,26.009446,68.776807,53805,831,25606,27368,"Sindh, Pakistan",112.3604868,1.544466128
Azad Jammu and Kashmir,Pakistan,6/16/2020 4:33,34.027401,73.947253,663,13,264,386,"Azad Jammu and Kashmir, Pakistan",16.38912276,1.960784314
Balochistan,Pakistan,6/16/2020 4:33,28.328492,65.898403,8327,85,2916,5326,"Balochistan, Pakistan",67.45564469,1.02077579
Gilgit-Baltistan,Pakistan,6/16/2020 4:33,35.792146,74.982138,1143,17,728,398,"Gilgit-Baltistan, Pakistan",112.7681574,1.487314086
Islamabad,Pakistan,6/16/2020 4:33,33.665087,73.121219,8857,83,2037,6737,"Islamabad, Pakistan",441.399561,0.937111889
Khyber Pakhtunkhwa,Pakistan,6/16/2020 4:33,34.485332,72.09169,18472,707,4692,13073,"Khyber Pakhtunkhwa, Pakistan",60.5175621,3.827414465
Punjab,Pakistan,6/16/2020 4:33,30.811346,72.139132,55878,1081,17730,37067,"Punjab, Pakistan",50.79243673,1.934571746
Sindh,Pakistan,6/16/2020 4:33,26.009446,68.776807,55581,853,28023,26705,"Sindh, Pakistan",116.0692912,1.534697109
Azad Jammu and Kashmir,Pakistan,6/17/2020 4:33,34.027401,73.947253,703,13,290,400,"Azad Jammu and Kashmir, Pakistan",17.37790845,1.849217639
Balochistan,Pakistan,6/17/2020 4:33,28.328492,65.898403,8437,89,3023,5325,"Balochistan, Pakistan",68.34673643,1.054877326
Gilgit-Baltistan,Pakistan,6/17/2020 4:33,35.792146,74.982138,1164,17,738,409,"Gilgit-Baltistan, Pakistan",114.8400133,1.4604811
